Type    PosX	PosY
1  	352	160
1	640	160
1	816	160
1	1280	48
1	1312	48
1	1552	176
1	1824	176
1	1856	176
1	1968	176
1	2000	176
1	2048	176
1	2080	176
1	2784	176
1	2816	176



2	2720	128
2	256	128
2	336	128
2	368	128
2	352	80


3	320	128
3	352	128
3	384	128
3	1216	128
3	1248	128
3	1504	128
3	1568	128
3	1584	128
3	1264	64
3	1280	64
3	1296	64
3	1312	64
3	1328	64
3	1344	64
3	1360	64
3	1376	64
3	1392	64
3	1456	64
3	1472	64
3	1488	64
3	1504	64
3	1744	64
3	1696	128
3	1744	128
3	1792	128
3	1888	128
3	2064	128
3	2080	128
3	1936	64
3	1952	64
3	1968	64
3	2048	64
3	2096	64
3	2688	128
3	2074	128
3	2736	128

4	1712	176

//1. Nam
//2. Cham hoi
//3. Gach
//4. Rua
