ID		PosX	PosY	Width	Height
ong		448	160	32	32
ong		608	144	32	48
ong		752	128	32	64
ong		928	128	32	64
ong		2688	160	32	32
ong		2976	160	32	32
pole		2176	176	64	16
pole		2192	160	48	16
pole		2208	144	32	16
pole		2224	128	16	16
pole		2272	128	16	16
pole		2272	144	32	16
pole		2272	160	48	16
pole		2272	176	64	16
pole		2400	176	80	16
pole		2416	160	64	16
pole		2432	144	48	16
pole		2448	128	32	16
pole		2512	128	16	16
pole		2512	144	32	16
pole		2512	160	48	16
pole		2512	176	64	16
pole		3104	80	48	16
pole		3088	96	64	16
pole		3072	112	80	16
pole		3056	128	96	16
pole		3040	144	112	16
pole		3024	160	128	16
pole		3008	176	144	16
pole		3312	176	16	16
xi_mang		0	192	1120	16
xi_mang		1152	192	240	16
xi_mang		1440	192	1040	16
xi_mang		2512	192	1008	16
green_flag	3312	32	16	16
flag_pole	3312	32	16	128
