ID		PosX	PosY	Width	Height
xi_mang_1	0	192	256	16
xi_mang_1	2224	192	512	16
xi_mang_1	2944	192	576	16
co		320	176	32	32
co		304	160	64	16
co		416	144	96	64
co		400	128	128	16
co		448	80	48	48
co		432	64	80	16
co		544	176	16	32
co		528	160	48	16
co		592	128	48	80
co		576	112	80	16
co		672	64	96	144
co		656	48	128	16
co		832	192	32	16
co		816	176	64	16
co		992	192	64	16
co		976	176	96	16
co		1024	80	32	96
co		1008	64	64	16
co		1104	192	48	16
co		1088	176	80	16
co		1184	128	16	80
co		1168	112	48	16
co		1280	96	64	112
co		1264	80	96	16
co		1632	160	32	48
co		1616	144	64	16
co		1728	96	128	112
co		1712	80	160	16
co		1936	192	16	16
co		1920	176	48	16
co		2016	144	32	64
co		2000	128	64	16
co		2128	144	32	64
co		2112	128	64	16
co		3136	64	32	32
co		3104	96	64	32
co		3072	128	96	64
co		2368	176	16	16
co		2400	160	16	32
co		2432	144	16	48
co		2464	128	16	64
co		2496	128	16	64
co		2528	144	16	48
co		2560	160	16	32
co		2592	176	16	16
thang_may	2864	144	48	16
thang_may	2768	144	48	16
thang_may	1536	160	48	16
thang_may	1424	96	48	16
thang_may	912	128	48	16
green_flag	3280	32	16	16
flag_pole	3296	32	16	144
